2022,5,582415.2796
2022,6,2244313.1368
2022,7,1868508.3605
2022,8,1483277.0378
2022,9,3183714.3222
2022,10,2543935.2723
2022,11,1603313.5082
2022,12,2807217.2516
2023,1,2325568.5984
2023,2,1620826.1021
2023,3,3336347.4716
2023,4,1871923.5039
2023,5,3452924.4537
2023,6,4610647.2153
2023,7,3840231.459
2023,8,2442451.1831
2023,9,3881724.186
2023,10,2858060.197
2023,11,2097153.1292
2023,12,3176848.1687
2024,1,2340061.5521
2024,2,2629322.4479
2024,3,3826046.0691
2024,4,2841585.7796
2024,5,3672137.646
2024,6,5707181.0854
2024,7,5546401.072
2024,8,3724394.8962
2024,9,5091152.2579
2024,10,5401903.7461
2024,11,3671582.3842
2024,12,4568717.5755
2025,1,4783231.6666
2025,2,3987943.6249
2025,3,5585675.8075
2025,4,5847164.693
2025,5,2108405.7877
2025,6,52478.1872
